# Glossary in tab-separated format -*- coding: utf-8 -*-
AuthorTract	Br/TratadoDoAutor
AuthorsSavingThrow	Br/JogadaDefensivaDoAutor
AutoErotica	Br/AutoErotica
AvertedTrope	Br/TropoEvitado
AwesomeButImpractical	Br/FantasticoPoremImpratico
AxCrazy	Br/DoidoDePedra
BBCQuarry	Br/PedreiraBBC
BFG	Br/ArmaGPC	"Grande pra cacete".
BTeamSequel	Br/SequenciaClasseB
BabiesEverAfter	Br/BebesParaSempre
BackFromTheDead	Br/DeVoltaDosMortos
BackportedDevelopment	Br/DesenvolvimentoRetroativo
Backstory	Br/HistoriaDeFundo
BackupBluff	Br/BlefeDosReforcos
BadBoss	Br/ChefeMau
BadFuture	Br/FuturoRuim
BadGuyBar	Br/BarDosMalvados
BadGuysDoTheDirtyWork	Br/AlguemTemQueFazerOTrabalhoSujo
BadPowersGoodPeople	Br/PoderesRuinsPessoasBoas
BadassAdorable	Br/FodaoAdoravel
BadassBookworm	Br/RatoDeBibliotecaFodao
BadassDecay	Br/DecaimentoFodanico
BadassPacifist	Br/PacifistaFodao
BadassUnintentional	Br/FodaoNaoIntencional
Badbutt	Br/OMaioral
BaitAndSwitch	Br/PescaETroca
BaitTheDog	Br/AtrairOCachorro
BalanceBetweenGoodAndEvil	Br/EquilibrioEntreOBemEOMal
BaldMystic	Br/CalvoMistico
BaldOfAuthority	Br/CalvoDeAutoridade
BaldOfEvil	Br/CalvicieDoMal
BallIndex	Br/{{Indicebol}}
BallsGag	Br/PiadaComBolas
BannedInChina	Br/BanidoNaChina
BarFullOfAliens	Br/BarRepletoDeAliens
BarbarianHero	Br/HeroiBarbarico
BareFistedMonk	Br/MongeDeMaosVazias
BarefootLoon	Br/LunaticoDescalco
BargainWithHeaven	Br/NegociarComOCeu
BarrageOfBats	Br/AMorcegada
BaseOnWheels	Br/BaseSobreRodas
BasedOnAGreatBigLie	Br/BaseadoEmUmaGrandeEEnormeMentira
BashBrothers	Br/IrmaosPorrada
BatDeduction	Br/BatDeducao
BathroomTropes	Br/TroposDeBanheiro
BatmanColdOpen	Br/AberturaBatman
BatmanGambit	Br/GambitoDeBatman
BattleOfWits	Br/BatalhaDeIntelecto
BavarianFireDrill	Br/SimulacaoDeIncendioBavara
BazaarOfTheBizarre	Br/BazarDoBizarro
BeCarefulWhatYouSay	Br/CuidadoComOQueDiz
BeachTropes	Br/TroposDePraia
BeautifulVoid	Br/BeloVazio
BeautyEqualsGoodness	Br/BelezaSignificaBondade
BeautyIsBad	Br/BelezaEMa
BeautyIsNeverTarnished	Br/BelezaNuncaEManchada
BecameTheirOwnAntithesis	Br/TornouSeSuaPropriaAntitese
BecauseDestinySaysSo	Br/PorqueODestinoQuisAssim
BecauseYouWereNiceToMe	Br/PorqueVoceFoiLegalComigo
BecomingTheMask	Br/TornarSeAMascara
BedTrick	Br/TruqueDaCama
BedlamHouse	Br/CasaBedlam
BefriendingTheEnemy	Br/AmigarSeComOInimigo
BeginnersLuck	Br/SorteDePrincipiante
BehindTheBlack	Br/AtrasDoEscuro
BeingEvilSucks	Br/SerDoMalEUmSaco
BeingEvilSucks	Br/SerMauEUmaDroga
BeingGoodSucks	Br/SerBomEUmaDroga
BeingGoodSucks	Br/SerBomEUmaMerda
BeingGoodSucks	Br/SerDoBemEUmSaco
BeingTheHeroSucks	Br/SerOHeroiEUmaDroga
BeingTorturedMakesYouEvil	Br/SerTorturadoTeFazDoMal
BellisariosMaxim	Br/MaximaDeBellisario
BeneathTheEarth	Br/AbaixoDaTerra
BenevolentAI	Br/IABenevolente
BenevolentAbomination	Br/AbominacaoBenevolente
BenevolentAlienInvasion	Br/InvasaoDosAlienigenasBenevolentes
BenevolentBoss	Br/ChefeBenevolente
BenevolentConspiracy	Br/ConspiracaoBenevolente
BenevolentDictator	Br/DitadorBenevolente
BenevolentGenie	Br/GenioBenevolente
BenevolentMageRuler	Br/GovernanteMagoBenevolente
BenevolentMonsters	Br/MonstrosBenevolentes
BenevolentPrecursors	Br/PrecursoresBenevolentes
BerserkButton	Br/BotaoDaFuria
BespectacledCutie	Br/FofinhaDeOculos
BetaCouple	Br/CasalBeta
BetterOnDVD	Br/MelhorNoDVD
BetterTheDevilYouKnow	Br/AntesOMalConhecido
BetterTheDevilYouKnow	Br/MelhorODiaboQueVoceConhece
BetterToDieThanBeKilled	Br/MelhorMorrerDoQuePerderAVida
BewareTheNiceOnes	Br/CuidadoComOsBonzinhos
BeyondRedemption	Br/AlemDaRedencao
BeyondTheImpossible	Br/AlemDoImpossivel
BiasSteamroller	Br/RoloCompressorDeVies
BibleTimes	Br/TemposBiblicos
BigBad	Br/GrandeMal
BigBad	Br/{{Malvadao}}
BigBad	Br/{{Malzao}}
BigEater	Br/{{Comilao}}
BigEgoHiddenDepths	Br/GrandeEgoProfundidadeEscondida
BigFancyCastle	Br/GrandeCasteloChique
BigFancyHouse	Br/GrandeCasaChique
BigFatFuture	Br/FuturoGrandeEGordo
BigFun	Br/GrandaoDivertido
BigGood	Br/GrandeBem
BigGuyFatalitySyndrome	Br/SindromeFatalDeCaraGrande
BigGuyLittleGuy	Br/CaraGrandeCaraPequeno
BigHeroicRun	Br/GrandeCorridaHeroica
BigLabyrinthineBuilding	Br/GrandeConstrucaoLabirintina
BiggerOnTheInside	Br/EMaiorPorDentro
BioweaponBeast	Br/ArmaBiologicaFeral
BirthmarkOfDestiny	Br/MarcaDeNascencaDoDestino
Bittersweet17	Br/Inquietos17	Inquietos dezessete anos.
BittersweetEnding	Br/FinalAgridoce
Bizarrchitecture	Br/{{Bizzarquitetura}}
BizarroApocalypse	Br/ApocalipseBizarro
BizarroUniverse	Br/UniversoBizarro
BlackAndGrayMorality	Br/MoralidadePretaECinza
BlackAndWhiteInsanity	Br/InsanidadeBinaria
BlackAndWhiteInsanity	Br/InsanidadePretaEBranca
BlackAndWhiteMorality	Br/MoralidadeBinaria
BlackAndWhiteMorality	Br/MoralidadePretaEBranca
BlackComedy	Br/HumorNegro
BlackDotPupils	Br/PupilasDeBolinhasPretas
BlackDudeDiesFirst	Br/OCaraNegroMorrePrimeiro
Blackmail	Br/{{Chantagem}}
BlamedForBeingRailroaded	Br/LevouACulpaPorTerSidoEmpurrado
BlatantLies	Br/MentirasDescaradas
BlobMonster	Br/MonstroDeGosma
BloodKnight	Br/CavaleiroDeSangue
BloodierAndGorier	Br/MaisSangrentoEGrotesco
BloodlessCarnage	Br/CarnificinaSemSangue
BloodsuckingBats	Br/VampirosSugadoresDeSangue
BloodyBowelsOfHell	Br/EntranhasSangrentasDoInferno
BlowingSmokeRings	Br/SoprarAneisDeFumaca
BlownAcrossTheRoom	Br/LancadoAtravesDaSala
BlueBlood	Br/SangueAzul
BlueIsHeroic	Br/AzulEHeroico
BluffTheImpostor	Br/BlefarOImpostor
BoardingSchoolOfHorrors	Br/InternatoDeHorrores
BodyBackupDrive	Br/CorpoReserva
BodyHorror	Br/HorrorCorporal
BodyOfBodies	Br/CorpoDeCorpos
BodySurf	Br/SurfeCorporal
BoisterousBruiser	Br/BrutoBagunceiro
BoltOfDivineRetribution	Br/RaioDaDivinaRetribuicao
BondVillainStupidity	Br/EstupidezDeVilaoDeBond
BoredWithInsanity	Br/EntediadoComAInsanidade
BoringButPractical	Br/ChatoPoremPratico
BoringReturnJourney	Br/JornadaEntedianteDeRetorno
BornAgainImmortality	Br/ImortalidadePorRenascimento
BornLucky	Br/SortudoDeNascenca
BottleEpisode	Br/EpisodioEngarrafado
BottledHeroicResolve	Br/DeterminacaoHeroicaEngarrafada
BottomlessPits	Br/FossoSemFundo
BoxOfficeBomb	Br/BombaDeBilheteria
Br/UnrevealAngle	Br/AnguloDeNaoRevelacao
BrainBleach	Br/AguaSanitariaCerebral
BrainFever	Br/FebreCerebral
BrainsAndBrawn	Br/CerebroEMusculo
BrainsVersusBrawn	Br/CerebroContraMusculo
BrainwashingForTheGreaterGood	Br/LavagemCerebralParaOBemMaior
BreakHisHeartToSaveHim	Br/PartaOCoracaoDeleParaOSalvar
BreakTheCutie	Br/QuebreALindinha
BreakThemByTalking	Br/AcabarComElesFalando
BreakingTheCycleOfBadParenting	Br/QuebrarOCicloDaMaCriacao
BreatherEpisode	Br/EpisodioDeRespiro
BribingYourWayToVictory	Br/SubornarOCaminhoParaAVitoria
BrickJoke	Br/PiadaDeTijolo
BrightCastle	Br/CasteloReluzente
BrilliantButLazy	Br/BrilhantePoremPreguicoso
BringMyBrownPants	Br/TragaMinhasCalcasMarrons
BringMyRedJacket	Br/TragaMeuCasacoVermelho
BroadStrokes	Br/PinceladasLargas
BrokeYourArmPunchingOutCthulhu	Br/QuebrouOBracoNocauteandoCthulhu
BrokenAesop	Br/EsopoDanificado
BrokenBridge	Br/PonteQuebrada
BrokenHero	Br/HeroiDespedacado
BrokenMasquerade	Br/QuedaDeMascaras
BrokenSystemDogmatist	Br/DogmatistaDoSistemaFalho
BronsonCanyonAndCaves	Br/CavernasECanionDeBronson
