# Glossary in tab-separated format -*- coding: utf-8 -*-
FakeWeakness	Br/FraquezaFalsa
FakeWeakness	Br/PseudoFraqueza
FakingTheDead	Br/FingindoDeMorto
FallenHero	Br/HeroiCaido
FallenPrincess	Br/PrincesaCaida
FallenStatesOfAmerica	Br/EstadosCaidosDaAmerica
FalseDichotomy	Br/FalsaDicotomia
FalseInnocenceTrick	Br/TruqueDaFalsaInocencia
FalseUtopia	Br/FalsaUtopia
FalselyAdvertisedAccuracy	Br/ExatidaoFalsamenteAnunciada
FamilyMan	Br/HomemDeFamilia
FamilyValuesVillain	Br/AMaldadeASeguirELivreParaTodosOsPublicos
FanConvention	Br/ConvencaoDeFas
FanNickname	Br/ApelidoDosFas
FanSequel	Br/SequenciaDosFas
FanonDiscontinuity	Br/DescontinuidadeDeFanone
FantasticAesop	Br/EsopoFantastico
FantasticNatureReserve	Br/ReservaFlorestalFantastica
FantasticallyIndifferent	Br/FantasticamenteIndiferente
FantasyAmericana	Br/FantasiaAmericana
FantasyCounterpartCulture	Br/ContraparteCulturalNaFantasia
FantasyGunControl	Br/EstatutoDoDesarmamentoFiccional
FarSideIsland	Br/IlhaTaoTaoDistante
Farce	Br/{{Farsa}}
FarmBoy	Br/GarotoDoCampo
FashionDissonance	Br/DissonanciaFashion
FatCamp	Br/AcampamentoDeGordos
FatalFlaw	Br/FalhaFatal
FateOfTheFrankensteins	Br/DestinoDosFrankensteins
FauxActionGirl	Br/PseudoGarotaDeAcao
FauxDeath	Br/MorteFalsa
FauxSymbolism	Br/PseudoSimbolismo
FelonyMisdemeanor	Br/CrimeDeMauComportamento
FemalesAreMoreInnocent	Br/MulheresSaoMaisInocentes
FemmeFatale	Br/FemmeFatale
FencePainting	Br/PintarACerca
FeudalFuture	Br/FuturoFeudal
FeudingFamilies	Br/FamiliasRivais
Fiction500	Br/ForbesFiccional
FictionalCountry	Br/PaisFicticio
FictionalCultureAndNationTropes	Br/TroposDeCulturasENacoesFicticias
FictionalProvince	Br/ProvinciaFicticia
FightingAShadow	Br/LutandoContraUmaSombra
FightingFromTheInside	Br/LutandoPeloLadoDeDentro
Filler	Br/{{Enchimento}}	Ou "filler" mesmo.
Film	BrFilme
Film/ANewHope	BrFilme/UmaNovaEsperanca
Film/AmericanBeauty	BrFilme/BelezaAmericana
Film/IRobot	BrFilme/EuRobo
Film/IndianaJonesAndTheKingdomOfTheCrystalSkull	BrFilme/IndianaJonesEOReinoDaCaveiraDeCristal
Film/ShootEmUp	BrFilme/MandandoBala
Film/TheDarkKnight	BrFilme/OCavaleiroDasTrevas
Film/TheLostWorldJurassicPark	BrFilme/OMundoPerdidoJurassicPark
Film/ThePhantomMenace	BrFilme/AAmeacaFantasma
Film/ThePrincessBride	BrFilme/APrincesaPrometida
Film/TheSantaClause	BrFilme/MeuPapaiENoel
Film/TheThreeStooges	BrFilme/OsTresPatetas
Film/VForVendetta	BrFilme/VDeVinganca
FilmTheHand	Br/FilmarAMao
FinaglesLaw	Br/LeiDeFinagle
FinalBattle	Br/BatalhaFinal
FinalGirl	Br/GarotaFinal
FinaleTitleDrop	Br/FalarONomeNoFinal
FingerSnapLighter	Br/IsqueiroDeDedo
FireAndBrimstoneHell	Br/InfernoDeFogoEEnxofre
FirePurifies	Br/FogoPurifica
FirstInstallmentWins	Br/APrimeiraEntradaVence
FirstPersonSmartass	Br/EngracadinhoEmPrimeiraPessoa
FisherKing	Br/ReiPescador
FisherKingdom	Br/ReinoDoPescador
FissionMailed	Br/FissaoMalha
FiveManBand	Br/GrupoDeCincoCaras
FiveManBandConcert	Br/ConcertoDeCincoCaras
FiveStagesOfGrief	Br/CincoEstagiosDoLuto
FiveTokenBand	Br/GrupoDeCincoCotistas
Flanderized	Br/{{Flanderizacao}}
Flashback	Br/{{Recordacao}}
FlatCharacter	Br/PersonagemPlano
FlatWorld	Br/MundoPlano
FlawExploitation	Br/ExploracaoDeFalhas
FlawlessToken	Br/CotistaInfalivel
FleetingDemographicRule	Br/RegraDaDemografiaPassageira
FleshGolem	Br/GolemDeCarne
FlipFlopOfGod	Br/IndecisaoDeDeus
FloatingAdviceReminder	Br/LembreteFlutuante
FloatingContinent	Br/ContinenteFlutuante
FloatingTimeline	Br/FusoQuadrinhos	O termo de origem é uma redireção para "Comic-Book Time".
FlockOfWolves	Br/RebanhoDeLobos
FloodedFutureWorld	Br/MundoFuturoInundado
FlowerMotifs	Br/TemaFloral
FluffyCloudHeaven	Br/CeuDeNuvensFofas
Foil	Br/{{Fundo}}
FolkHero	Br/HeroiFolclorico
FollowTheLeader	Br/SeguirOLider
FontAnachronism	Br/AnacronismoDeFonte
ForGreatJustice	Br/PelaGrandeJustica
ForHappiness	Br/PelaFelicidade
ForScience	Br/EmNomeDaCiencia
ForScience	Br/PelaCiencia
ForTheEvulz	Br/PorqueEuSouDuMalz
ForbiddenFruit	Br/FrutoProibido
ForbiddenZone	Br/ZonaProibida
ForcedCreativity	Br/CriatividadeForcada
ForegoneConclusion	Br/ConclusaoConhecida
Foreshadowing	Br/{{Prenuncio}}
Forgiveness	Br/{{Perdao}}
ForgotAboutHisPowers	Br/SeEsqueceuDosSeusPoderes
ForgotFlandersCouldDoThat	Br/EsqueciQueOFlandersPodiaFazerIsso
ForgotTheDisability	Br/SeEsqueceuDaDeficiencia
ForgottenFallenFriend	Br/AmigoFalecidoEsquecido
ForgottenPhlebotinum	Br/CoisoniumEsquecido
FormulaicMagic	Br/MagiaFormulaica
FourIsDeath	Br/QuatroSignificaMorte
FourManBand	Br/GrupoDeQuatroCaras
FourPointScale	Br/EscalaDeQuatroPontos
FramingDevice	Br/DispositivoDeEnquadramento
FramingTheGuiltyParty	Br/ArmarParaOsCulpados
Franchise	BrFranquia
Franchise/CthulhuMythos	BrFranquia/MitosDeCthulhu
Franchise/StarTrek	BrFranquia/StarTrek
Franchise/TheHitchhikersGuideToTheGalaxy	BrFranquia/OGuiaDoMochileiroDasGalaxias
FranchiseDrivenRetitling	Br/RetronimoBaseadoEmFranquia
FranchiseKiller	Br/MatadorDeFranquia
FranchiseOriginalSin	Br/PecadoOriginalDaFranquia
FranchiseZombie	Br/FranquiaZumbi
FrankensteinsMonster	Br/MonstroDeFrankenstein
FrazettaMan	Br/HomemFrazetta
FreakOut	Br/{{Surto}}
FreeLoveFuture	Br/FuturoDeAmorLivre
FreudWasRight	Br/FreudEstavaCerto
FreudianExcuse	Br/DesculpaFreudiana
FreudianExcuse	Br/FreudExplica
FreudianExcuseDenial	Br/NegacaoDaDesculpaFreudiana
FreudianExcuseIsNoExcuse	Br/DesculpaFreudianaNaoEDesculpa
FridayNightDeathSlot	Br/HoraDaMorteNaNoiteDeSexta
FridgeHorror	Br/HorrorDeGeladeira
FridgeLogic	Br/LogicaDeGeladeira
FriendInThePress	Br/AmigoNaImprensa
FriendOnTheForce	Br/AmigoNasForcas
FriendToAllChildren	Br/AmigoDasCriancas
FriendToAllLivingThings	Br/AmigoDeTudoQueVive
FriendToBugs	Br/AmigoDosInsetos
FriendlyEnemy	Br/RivalAmigavel
FriendlyGhost	Br/FantasmaAmigavel
FriendlyNeighborhoodSpider	Br/AranhaAmigavelDaVizinhanca
FriendlyNeighborhoodVampire	Br/VampiroAmigavelDaVizinhanca
FriendlyScheming	Br/EsquemaAmigavel
FriendlySkeleton	Br/EsqueletoAmigavel
FriendlyZombie	Br/ZumbiAmigavel
FrivolousLawsuit	Br/ProcessoFutil
FromASingleCell	Br/DeUmaUnicaCelula
FromBadToWorse	Br/DeMalAPior
FromHeroToMentor	Br/DeHeroiAMentor
FromShameHeroism	Br/DaVergonhaHeroismo
FromTheAshes	Br/DasCinzas
FromZeroToHero	Br/DeZeroAHeroi
FullCircleRevolution	Br/RevolucaoEmCircuitoFechado
FunPersonified	Br/DiversaoPersonificada
FutureSocietyPresentValues	Br/SociedadeDoFuturoValoresDoPresente
Futureshadowing	Br/{{Posnuncio}}
GRatedSex	Br/SexoComCensuraLivre
GadgeteerGenius	Br/GenioDosApetrechos
GadgeteersHouse	Br/CasaDoInventor
GaiasLament	Br/LamentoDeGaia
GainaxEnding	Br/FinalGainax
GambitPileup	Br/AmontoamentoDeGambitos
GambitRoulette	Br/RoletaDeGambitos
GameMaster	Br/MestreDoJogo
GardenOfEvil	Br/JardimDoMal
GarnishingTheStory	Br/EmbelezarAHistoria
Gayngst	Br/{{Agaynia}}
GenderIncompetence	Br/IncompetenciaDeGenero
GeneticAbomination	Br/AbominacaoGenetica
GenghisGambit	Br/GambitoDeGenghis
GeniusBonus	Br/BonusAosGenios
GeniusBruiser	Br/BrutoInteligente
GeniusLoci	Br/GeniusLoci
GenreKiller	Br/MatadorDeGenero
GenreSavvy	Br/LigadoNoGenero
GenreShift	Br/MudancaDeGenero
GentleGiant	Br/GiganteGentil
GentlemanAndAScholar	Br/CavalheiroECulto
GentlemanSnarker	Br/SarcasticoCavalheiro
GeographicFlexibility	Br/FlexibilidadeGeografica
GeorgeJetsonJobSecurity	Br/EmpregoEstavelDoGeorgeJetson
GetBackInTheCloset	Br/VolteParaOArmario
GetTheeToANunnery	Br/DirigeTeAUmConvento
GettingCrapPastTheRadar	Br/PassarMuambaPelaAlfandega
GhibliHills	Br/ColinasGhibli
GhostReunionEnding	Br/FinalReuniaoFantasma
GhostTown	Br/CidadeFantasma
GiantCorpseWorld	Br/MundoDeCadaverGigante
GiantFood	Br/ComidaGigante
GildedCage	Br/GaiolaDourada
GingerbreadHouse	Br/CasaDeGengibre
GirlOnGirlIsHot	Br/GarotaComGarotaESexy
GirlShowGhetto	Br/GuetoDeProgramaFeminino
GirlyBruiser	Br/BrutaFeminina
GivingUpOnLogic	Br/DesistindoDaLogica
GivingUpOnLogic	Br/DesistirDaLogica
GloveSnap	Br/EstalarDeLuvas
GlovedFistOfDoom	Br/PunhoEnluvadoDaDestruicao
GlowingEyesOfDoom	Br/OlhosBrilhantesDoCaos
GoAndSinNoMore	Br/VaENaoPequesMais
GoMadFromTheRevelation	Br/EnlouquecerComARevelacao
GoalOrientedEvolution	Br/EvolucaoOrientadaAObjetivos
GodBeforeDogma	Br/DeusAntesDeDogma
GodDoesNotOwnThisWorld	Br/EsteMundoNaoPertenceADeus
GodGuise	Br/DisfarceDeDeus
GodIsGood	Br/DeusEBondoso
GodNeverSaidThat	Br/DeusNuncaDisseIsso
GodOfChaos	Br/DeusDoCaos
GodOfEvil	Br/DeusDaMaldade
GodOfEvil	Br/DeusDoMal
GodOfGood	Br/DeusDaBondade
GoddamnedBats	Br/MalditosMorcegos
GodhoodSeeker	Br/BuscadorDaDivindade
GodzillaThreshold	Br/LimiarDeGodzilla
GoldAndWhiteAreDivine	Br/BrancoEDouradoSaoDivinos
GoneHorriblyRight	Br/DeuHorrivelmenteCerto
GoneHorriblyWrong	Br/DeuHorrivelmenteErrado
GonnaNeedMoreX	Br/PrecisamosDeMaisX
GoodAllAlong	Br/BomOTempoTodo
GoodAndEvilForYourConvenience	Br/BomEMauParaASuaConveniencia
GoodAngelBadAngel	Br/AnjoBomAnjoMau
GoodCannotComprehendEvil	Br/OBemNaoPodeCompreenderOMal
GoodColorsEvilColors	Br/CoresBoasCoresMas
GoodCostumeSwitch	Br/TrocaParaUmTrajeBom:
GoodCounterpart	Br/ContraparteDoBem
GoodEyesEvilEyes	Br/OlhosBonsOlhosMaus
GoodFeelsGood	Br/SerDoBemFazBem
GoodGunsBadGuns	Br/ArmasDeFogoBoasArmasDeFogoMas
GoodGuyBar	Br/BarDosMocinhos
GoodGuysGarb	Br/TrajesDeMocinhos
GoodHairEvilHair	Br/CabeloBomCabeloMau
GoodHurtsEvil	Br/OBemMachucaOMal
GoodIsBoring	Br/OBemEEntediante
GoodIsDumb	Br/OBemEBurro
GoodIsImpotent	Br/OBemEImpotente
GoodIsNotDumb	Br/SerBomNaoESerBurro
GoodIsNotNice	Br/BomNaoEGentil
GoodIsNotNice	Br/SerBomNaoESerBonzinho
GoodIsNotSoft	Br/SerBomNaoESerMole
GoodIsOldFashioned	Br/SerBomEAntiquado
GoodLawyersGoodClients	Br/BonsAdvogadosBonsClientes
GoodNeedsEvil	Br/OBemPrecisaDoMal
GoodNewsBadNews	Br/BoasEMasNoticias
GoodOldFisticuffs	Br/BoaEVelhaBrigaDeSoco
GoodOldWays	Br/BomEVelhoJeito
GoodParents	Br/PaisBons
GoodPaysBetter	Br/OBemPagaMelhor
GoodProstheticEvilProsthetic	Br/ProteseBoaProteseMa
GoodRunningEvil	Br/OBemAdministrandoOMal
GoodSamaritan	Br/BomSamaritano
GoodScarsEvilScars	Br/CicatrizesBoasCicatrizesMas
GoodShepherd	Br/BomPastor
GoodSmellsGood	Br/SerDoBemCheiraBem
GoodSmokingEvilSmoking	Br/BomFumanteMauFumante
GoodTamingEvilTaming	Br/BomAdestramentoMauAdestramento
GoodVersusGood	Br/BemContraBem
GoodWeaponEvilWeapon	Br/ArmaBoaArmaMa
GoodWearsWhite	Br/OBemVesteBranco
GoodWingsEvilWings	Br/AsasBoasAsasMas
GoodnessExam	Br/TesteDeBondade
GoodnessTropes	Br/TroposDeBondade
GothsHaveItHard	Br/ParaGoticosTudoEDificil
GradeSystemSnark	Br/SarcasticoComSistemaDeNotas
GrandFinale	Br/GranFinale
GranolaGirl	Br/GarotaGranola
GrassIsGreener	Br/AGramaEMaisVerde
GratuitousLaboratoryFlasks	Br/FrascosDeLaboratorioGratuitos
GreasySpoon	Br/ColherSebosa
GreatBigLibraryOfEverything	Br/GrandeEVastaBibliotecaDeTudo
GreatEscape	Br/AGrandeFuga
GreatWhiteHunter	Br/GrandeCacadorBranco
GreaterNeedThanMine	Br/NecessidadeMaiorQueAMinha
GreaterScopeParagon	Br/ModeloDeMaiorEscopo
GreaterScopeVillain	Br/VilaoDeMaiorEscopo
Greed	Br/{{Ganancia}}
GreekChorus	Br/CoroGrego
GreenEyedMonster	Br/MonstroDeOlhosVerdes
GreenThumb	Br/DedoVerde
GreyAndGrayMorality	Br/MoralidadeCinzaECinza
GreyAndGrayMorality	Br/MoralidadeGrisECinza
GrinOfAudacity	Br/SorrisoAudaz
GroceryStoreIndex	Br/IndiceDaMercearia
GroinAttack	Br/AtaqueNaVirilha
GrowingTheBeard	Br/CrescerABarba
GrowsOnTrees	Br/DaEmArvore
GuardianOfTheMultiverse	Br/GuardiaoDoMultiverso
GuideDangIt	Br/MalditoGuia
GuileHero	Br/HeroiAstuto
GunsAkimbo	Br/ArmasAkimbo
GunsAreUseless	Br/ArmasDeFogoSaoInuteis
GutPunch	Br/SocoNoEstomago
HackerCave	Br/TocaHacker
HadToComeToPrisonToBeACrook	Br/PreciseiSerPresoPraMeTornarUmBandido
HairFlip	Br/ViradaDeCabelo
HairOfGoldHeartOfGold	Br/CabeloDeOuroCoracaoDeOuro
HairTriggerTemper	Br/PavioCurto
Halloweentown	Br/CidadeDoHalloween
HammyVillainSeriousHero	Br/HeroiSerioVilaoGalhofa
HandWave	Br/SoUmaPincelada
HandsomeHeroicCaveman	Br/HomemDasCavernasHeroicoEBonito
Handwave	Br/{{Pincelada}}
HanlonsRazor	Br/NavalhaDeHanlon
HannibalLecture	Br/SermaoDeHannibal
HappilyEverAfter	Br/FelizesParaSempre
HappyEndingOverride	Br/PassarPorCimaDoFinalFeliz
HardDrinkingTropes	Br/TroposDeBebedeira
HarderThanHard	Br/MaisDificilQueODificil
HarmfulToTouch	Br/PerigosoTocar
HarmlessVillain	Br/VilaoInofensivo
HarsherInHindsight	Br/PesadoEmRetrospecto
HateSink	Br/RaloDeOdio
HauntedCastle	Br/CasteloAssombrado
HauntedHeadquarters	Br/QuartelGeneralAssombrado
HauntedHeroine	Br/HeroinaAssombrada
HauntedHouse	Br/CasaAssombrada
HaveYouTriedNotBeingAMonster	Br/JaTentouNaoSerUmMonstro
HeKnowsTooMuch	Br/EleSabeDemais
HeWhoFightsMonsters	Br/AqueleQueLutaComMonstros
HeadbuttingHeroes	Br/HeroisCabecaDura
HeadsIWinTailsYouLose	Br/CaraEuGanhoCoroaVocePerde
HealingFactor	Br/FatorDeCura
HeartOfHappiness	Br/CoracaoDeFelicidade
HeartSymbol	Br/SimboloDeCoracao
HeartwarmingInHindsight	Br/FofoEmRetrospecto
HeartwarmingOrphan	Br/OrfaoDeAquecerOCoracao
Heaven	Br/{{Ceu}}
HeavenlyConcentricCircles	Br/CirculosCelestiaisConcentricos
HedgeMaze	Br/LabirintoDeCercaViva
HeelFaceBrainwashing	Br/PassarParaOLadoDaLavagemCerebral
HeelFaceRevolvingDoor	Br/PortaGiratoriaDeViraCasaca
HeelFaceRevolvingDoor	Br/DeslizandoDeUmLadoProOutro
HeelFaceTurn	Br/PassandoProLadoDosMocinhos
HeelFaceTurn	Br/PassarParaOLadoDosMocinhos
HeelRealisation	Br/PercepcaoDeMaldade
HeelRealization	Br/PercepcaoDeMaldade
HehHehYouSaidX	Br/HeHeVoceDisseX
HeinousnessRetcon	Br/RetconCriminal
Hell	Br/{{Inferno}}
HellHotel	Br/HotelInfernal
HellIsWar	Br/InfernoEGuerra
HellOfAHeaven	Br/EsseCeuEUmInferno
HellOnEarth	Br/InfernoNaTerra
Hellistics	Br/{{Infernistica}}
HelpingGrannyCrossTheStreet	Br/AjudarAVovoAAtravessarARua
HelplessGoodSide	Br/LadoBomImpotente
HenshinHero	Br/HeroiHenshin
Herald	Br/OArauto
HereThereWereDragons	Br/AquiHaviamDragoes
HereWeGoAgain	Br/LaVamosNosDeNovo
HeroAcademy	Br/AcademiaDeHerois
HeroAntagonist	Br/HeroiAntagonista
HeroBall	Br/BolaDeHeroibol
HeroDoesPublicService	Br/OHeroiFazServicoPublico
HeroInsurance	Br/SeguroHeroico
HeroOfAnotherStory	Br/HeroiDeOutraHistoria
HeroOnHiatus	Br/HeroiEmHiato
HeroProtagonist	Br/HeroiProtagonista
HeroSecretService	Br/ServicoSecretoParaHerois
HeroStoleMyBike	Br/OHeroiRoubouMinhaBicicleta
HeroTropes	Br/TroposDeHeroi
HeroWithAUniqueName	Br/HeroiComNomeUnico
HeroWithAnFInGood	Br/HeroiComZeroEmBondade
HeroWithBadPublicity	Br/HeroiComMaPublicidade
HeroesActVillainsHinder	Br/HeroisAgemViloesAtrapalham
HeroesFightBarehanded	Br/HeroisLutamDeMaosVazias
HeroesFrontierStep	Br/PassoDaFronteiraHeroica
HeroesGoneFishing	Br/OsHeroisForamPescar
HeroesLoveDogs	Br/OsHeroisAmamCachorros
HeroesPreferSwords	Br/HeroisPreferemEspadas
HeroicBSOD	Br/ColapsoHeroico
HeroicBSOD	Br/TelaAzulHeroica
HeroicBastard	Br/BastardoHeroico
HeroicBuild	Br/RobustezHeroica
HeroicBystander	Br/ObservadorHeroico
HeroicComedicSociopath	Br/SociopataComicoHeroico
HeroicDog	Br/CachorroHeroico
HeroicDolphin	Br/GolfinhoHeroico
HeroicFireRescue	Br/ResgateHeroicoDeIncendio
HeroicHost	Br/HospedeiroHeroico
HeroicLineage	Br/LinhagemHeroica
HeroicMime	Br/MimicoHeroico
HeroicMusicIndex	Br/IndiceDeMusicasHeroicas
HeroicNeutral	Br/NeutroEHeroico
HeroicRROD	Br/ColapsoFisicoHeroico
HeroicRematch	Br/RevancheHeroica
HeroicResolve	Br/DeterminacaoHeroica
HeroicSacrifice	Br/SacrificioHeroico
HeroicSafeMode	Br/ModoDeSegurancaHeroico
HeroicSeductress	Br/SedutoraHeroica
HeroicSelfDeprecation	Br/AutoDepreciacaoHeroica
HeroicSpirit	Br/EspiritoHeroico
HeroicVow	Br/VotoHeroico
HeroicWillpower	Br/ForcaDeVontadeHeroica
HeroismEqualsJobQualification	Br/HeroismoSignificaQualificacaoProfissional
HeroismMotiveSpeech	Br/DiscursoMotivacionalDeHeroismo
HeroismWontPayTheBills	Br/HeroismoNaoPagaAsContas
HerosMuse	Br/MusaDoHeroi
HerosSlaveHarem	Br/HaremDeEscravosDoHeroi
HerrDoktor	Br/HerrDoktor
HesDeadJim	Br/EleEstaMortoJim
HeterosexualLifePartners	Br/ParceirosDeVidaHeterossexuais
HiddenAgendaHero	Br/HeroiComMotivosOcultos
HiddenElfVillage	Br/VilaDeElfosOculta
HiddenHeartOfGold	Br/CoracaoDeOuroOculto
HighFantasy	Br/AltaFantasia
HighOnCatnip	Br/ChapadoComErvaDeGato
HighSchool	Br/EscolaDeEnsinoMedio
HigherUnderstandingThroughDrugs	Br/CompreensaoSuperiorAtravesDeDrogas
HilariousInHindsight	Br/HilarioEmRetrospecto
HilariouslyAbusiveChildhood	Br/InfanciaHilariamenteAbusiva
HilarityEnsues	Br/HilariedadesSeguemSe
HiredGuns	Br/{{Mercenarios}}
HisNameIs	Br/ONomeDeleE
HistoricalFiction	Br/FiccaoHistorica
HistoricalInJoke	Br/PiadaInternaHistorica
HitlersTimeTravelExemptionAct	Br/AtoDeIsencaoDeViagemNoTempoDeHitler
HiveMind	Br/MenteColetiva
HoYay	Br/EntaoEleE
HoldingHands	Br/DeMaosDadas
HolierThanThou	Br/MaisSacroQueTu
HolierThanThou	Br/SouMaisSantoQueVoce
HollowWorld	Br/MundoOco
HollywoodActionHero	Br/HeroiDeAcaoHollywoodiano
HollywoodAtlas	Br/AtlasHollywoodiano
HollywoodHacking	Br/HackersHollywoodianos
HollywoodHistory	Br/HistoriaHollywoodiana
HollywoodHomely	Br/PessoaComumDeHollywood
HollywoodPrehistory	Br/PreHistoriaHollywoodiana
HollywoodProvincialism	Br/ProvincialismoHollywoodiano
HollywoodStyle	Br/EstiloHollywood
HolyGround	Br/SoloSagrado
HolyHandGrenade	Br/GranadaSantaDeMao
Homage	Br/{{Homenagem}}
HomeOfMonsters	Br/LarDeMonstros
HomegrownHero	Br/HeroiDeCasa
HomelessHero	Br/HeroiSemTeto
Homer	Homero	O filósofo grego, não o personagem dos Simpsons.
HonestCorporateExecutive	Br/ExecutivoCorporativoHonesto
HonorBeforeReason	Br/HonraAntesDaRazao
HopeBringer	Br/EmissarioDaEsperanca
HopelessBossFight	Br/LutaInvencivelContraChefe
HorribleJudgeOfCharacter	Br/PessimoJulgamentoDeCarater
HorrifyingHero	Br/HeroiHorripilante
HorsebackHeroism	Br/HeroismoMontadoACavalo
HospitalTropes	Br/TroposDeHospital
HospitalityForHeroes	Br/HospitalidadeAosHerois
HotBlooded	Br/SangueQuente
HotelTropes	Br/TroposDeHotel
HotterAndSexier	Br/MaisSexualEErotico
HouseOfBrokenMirrors	Br/CasaDeEspelhosQuebrados
HouseTropes	Br/TroposDeCasa
HowWeGotHere	Br/ComoChegamosAqui
HumanPopsicle	Br/PicoleHumano
HumanoidAbomination	Br/AbominacaoHumanoide
HumanoidFemaleAnimal	Br/AnimalFemeaHumanoide
HumansAreBastards	Br/HumanosSaoCanalhas
HumansAreFlawed	Br/HumanosSaoFalhos
HumansAreGood	Br/HumanosSaoBons
HumansAreMorons	Br/HumanosSaoIdiotas
HumansAreTheRealMonsters	Br/HumanosSaoOsVerdadeirosMonstros
HumbleBeginnings	Br/ComecoHumilde
HumbleHero	Br/HeroiHumilde
HumiliationConga	Br/CongaDaHumilhacao
HumiliationConga	Br/SequenciaHumilhante
HumongousMecha	Br/RoboGigante
HundredPercentHeroismRating	Br/ClassificacaoDeCemPorCentoDeHeroismo
HungryJungle	Br/SelvaVoraz
HunterOfMonsters	Br/CacadorDeMonstros
Hypochondria	Br/{{Hipocondria}}
HypocriteHasAPoint	Br/OHipocritaTemRazao
IAteWhat	Br/EuComiOQue
ICantBelieveItsNotHeroin	Br/EuNaoAcreditoQueNaoEHeroina
IControlMyMinionsThrough	Br/EuControloMeusLacaiosCom
IDidWhatIHadToDo	Br/EuFizOQueEuPrecisavaFazer
IDieFree	Br/MorrereiLivre
IDontLikeTheSoundOfThatPlace	Br/EuNaoGostoDoSomDesteLugar
IGaveMyWord	Br/EuDeiMinhaPalavra
IHaveYourWife	Br/EuEstouComASuaEsposa
IJustWantToBeSpecial	Br/EuSoQueriaSerEspecial
IKnowWhatWeCanDoCut	Br/CorteDeEuSeiOQuePodemosFazer
IKnowYouKnowIKnow	Br/EuSeiQueVoceSabeQueEuSei
IKnowYoureInThereSomewhereFight	Br/LutaDeEuSeiQueVoceEstaAiEmAlgumLugar
INeverSaidItWasPoison	Br/EuNuncaDisseQueEraVeneno
IWantMyBelovedToBeHappy	Br/EuQueroQueMeuAmorSejaFeliz
IWantMyJetpack	Br/EuQueroMinhaMochilaAJato
IWantMyMommy	Br/EuQueroMinhaMamae
IWantSong	Br/CancaoDeEuQuero
IWorkAlone	Br/CavaleiroSolitario
IWorkAlone	Br/EuTrabalhoSozinho
IcePalace	Br/PalacioDeGelo
IconicOutfit	Br/TrajeIconico
IconicSequelCharacter	Br/PersonagemIconicoDaSequencia
IconicSequelSong	Br/MusicaIconicaDaSequencia
IdealHero	Br/HeroiIdeal
IdealistVsPragmatist	Br/IdealistaContraPragmatico
IdentityBreakdown	Br/ColapsoDeIdentidade
IdiotBall	Br/BolaDeIdiotabol
IdiotHero	Br/HeroiIdiota
IdiotHoudini	Br/IdiotaHoudini
IdiotPlot	Br/TramaDeIdiotas
IdyllicEnglishVillage	Br/IdilicaVilaInglesa
IgnoredEpiphany	Br/EpifaniaIgnorada
IgnoredExpert	Br/EspecialistaIgnorado
ImNotAHeroIm	Br/EuNaoSouUmHeroiEuSou
ImaginedInnuendo	Br/InsinuacaoImaginada
ImmediateSelfContradiction	Br/AutocontradicaoImediata
ImmediateSequel	Br/SequenciaImediata
ImmortalHero	Br/HeroiImortal
ImmortalLifeIsCheap	Br/VidaImortalEBarata
Immortality	Br/{{Imortalidade}}
ImmortalityField	Br/CampoDeImortalidade
ImmortalityInducer	Br/IndutorDeImortalidade
ImmuneToBullets	Br/ImuneABalas
ImmuneToSlapstick	Br/ImuneAPastelao
ImplacableMan	Br/OImplacavel
ImportedAlienPhlebotinum	Br/CoisoniumImportadoDosAliens
ImpossiblyMundaneExplanation	Br/ExplicacaoImpossivelmenteMundana
ImprobableAimingSkills	Br/HabilidadeDeMiraImprovavel
ImprovedSecondAttempt	Br/SegundaTentativaMelhorada
InMediasRes	Br/InMediasRes
InNameOnly	Br/SomenteNoNome
InTheBack	Br/PelasCostas
InTheBlood	Br/EstaNoSangue
InTheDoldrums	Br/NoMarasmo
InTheirOwnImage	Br/AImagemESemelhanca
InUniverse	Br/InUniverso
IncitingIncident	Br/IncidenteIncitador
IncompetenceInc	Br/IncompetenciaLtda
IncorruptiblePurePureness	Br/PurezaPuraIncorruptivel
IndexOfHospitality	Br/IndiceDeHospitalidade
IndexToTheRescue	Br/IndiceAoResgate
IndexWithAHeartOfGold	Br/IndiceComUmCoracaoDeOuro
IndianBurialGround	Br/CemiterioIndigena
IndianMaiden	Br/DonzelaIndigena
IndustrialGhetto	Br/GuetoIndustrial
IndustrialWorld	Br/MundoIndustrial
IndustrializedMercury	Br/MercurioIndustrializado
IndyPloy	Br/PlanoIndiana
InexplicableTreasureChests	Br/BauDeTesouroInexplicavel
InfallibleBabble	Br/BlaBlaBlaInfalivel
InfectiousInsanity	Br/InsanidadeInfecciosa
InfinityPlusOneSword	Br/EspadaDoInfinitoMaisUm
Infodump	Br/DespejoDeInformacao
InformedAttribute	Br/AtributoInformado
InformedLocation	Br/LocalInformado
InherentInTheSystem	Br/InerenteAoSistema
InjuredSelfDrag	Br/RastejarComFerimentos
InnBetweenTheWorlds	Br/HotelEntreMundos
InnOfNoReturn	Br/HotelDeNaoRetorno
InnerCitySchool	Br/EscolaDePeriferia
InnocentAliens	Br/AlienigenasInocentes
InnocentBlueEyes	Br/InocentesOlhosAzuis
InnocentBystander	Br/ObservadorInocente
InnocentInnuendo	Br/InsinuacaoInocente
InnocentSoprano	Br/SopranoInocente
